Filer,VServer,Volume,Aggregate,Size,State,Policy,Junction-Path,Used,Snapshot-Policy,Clone-Volume,Compression-Space-Saved,Dedupe-Space-Saved,Clone-Parent-Name,QTree,QTree-Quota,QTree-Used,Space-Needed,Space-Alloc-Needed,CIFS,Owner,EMT-2,BU,Site:Path
noiclapa01-cls-mgt,noiclapa01-p1,vol0,aggr0_noiclapa01_p1,714GB,online,-,-,83GB,-,-,0GB,0GB,-,-,-,-,83GB,631GB,-,-
noiclapa01-cls-mgt,noiclapa01-p2,vol0,aggr0_noiclapa01_p2,714GB,online,-,-,47GB,-,-,0GB,0GB,-,-,-,-,47GB,667GB,-,-
noiclapa01-cls-mgt,noiclapa01-p5,vol0,aggr0_noiclapa01_p5,714GB,online,-,-,125GB,-,-,0GB,0GB,-,-,-,-,125GB,589GB,-,-
noiclapa01-cls-mgt,noiclapa01-p6,vol0,aggr0_noiclapa01_p6,714GB,online,-,-,45GB,-,-,0GB,0GB,-,-,-,-,45GB,669GB,-,-
noiclapa01-cls-mgt,noiclapa01-p7,vol0,aggr0_noiclapa01_p7,902GB,online,-,-,41GB,-,-,0GB,0GB,-,-,-,-,41GB,861GB,-,-
noiclapa01-cls-mgt,noiclapa01-p8,vol0,aggr0_noiclapa01_p8,902GB,online,-,-,76GB,-,-,0GB,0GB,-,-,-,-,76GB,826GB,-,-
noiclapa01-cls-mgt,noiclapa01-p9,vol0,aggr0_noiclapa01_p9,1086GB,online,-,-,49GB,-,-,0GB,0GB,-,-,-,-,49GB,1037GB,-,-
noiclapa01-cls-mgt,noiclapa01-p10,vol0,aggr0_noiclapa01_p10,1086GB,online,-,-,51GB,-,-,0GB,0GB,-,-,-,-,51GB,1035GB,-,-
noiclapa01-cls-mgt,noiclapa01-s1,vol0,aggr0_noiclapa01_s1,4018GB,online,-,-,58GB,-,-,0GB,0GB,-,-,-,-,58GB,3960GB,-,-
noiclapa01-cls-mgt,noiclapa01-s2,vol0,aggr0_noiclapa01_s2,4018GB,online,-,-,45GB,-,-,0GB,0GB,-,-,-,-,45GB,3973GB,-,-
noiclapa01-cls-mgt,vs0,AMS_TRO_builds,noiclapa01_p5_SAS0,110GB,online,default,/vols/AMS_TRO_builds,64GB,default,false,0GB,0GB,-,-,-,-,64GB,46GB,-,-,-,-,noida:/vols/AMS_TRO_builds
noiclapa01-cls-mgt,vs0,APAC_OCUM_DB,noiclapa01_p5_SAS0,1024GB,online,default,/it/APAC_OCUM_DB,45GB,none,false,0GB,29GB,-,-,-,-,74GB,950GB,-,-,-,-,noida:/vols/APAC_OCUM_DB
noiclapa01-cls-mgt,vs0,APAC_OCUM_DB1,noiclapa01_p5_SAS0,500GB,online,default,/it/APAC_OCUM_DB1,154GB,default,false,0GB,42GB,-,-,-,-,196GB,304GB,-,-,-,-,noida:/vols/APAC_OCUM_DB1
noiclapa01-cls-mgt,vs0,DIP,noiclapa01_p2_SAS0,3072GB,online,default,/avs/DIP,1846GB,none,false,0GB,320GB,-,-,-,-,2166GB,906GB,-,-,-,-,noida:/development/testrun2
noiclapa01-cls-mgt,vs0,DIP_Verification,noiclapa01_p1_SAS0,2560GB,online,default,/vol/DIP_Verification,1786GB,none,false,0GB,0GB,-,-,-,-,1786GB,774GB,-,-,-,-,noida:/servers/DIP_Verification
noiclapa01-cls-mgt,vs0,Denali_test_scratch,noiclapa01_p2_SAS0,400GB,online,default,/vols/Denali_test_scratch,399GB,none,false,0GB,0GB,-,-,-,-,399GB,1GB,-,-,-,-,noida:/vols/Denali_test_scratch
noiclapa01-cls-mgt,vs0,Denali_vol0,noiclapa01_p2_SAS0,700GB,online,denali,/vol/Denali_vol0,506GB,none,false,0GB,214GB,-,-,-,-,720GB,-20GB,-,-,-,-,noida:/hm/flash
noiclapa01-cls-mgt,vs0,Doberman_archive,noiclapa01_p2_SAS0,210GB,online,default,/vols/Doberman_archive,201GB,none,false,0GB,0GB,-,-,-,-,201GB,9GB,-,-,-,-,noida:/servers/archive
noiclapa01-cls-mgt,vs0,HPNFC_space,noiclapa01_p7_SAS0,3072GB,online,default,/vols/HPNFC_space,2105GB,none,false,0GB,789GB,-,-,-,-,2894GB,178GB,-,-,-,-,noida:/projects/HPNFC
noiclapa01-cls-mgt,vs0,IC616,noiclapa01_p6_SAS0,40GB,online,default,/p4/flex_vol_atulg/IC616,29GB,none,false,0GB,0GB,-,-,-,-,29GB,11GB,-,-,-,-,noida:/vols/IC616
noiclapa01-cls-mgt,vs0,IC617,noiclapa01_p6_SAS0,40GB,online,default,/p4/flex_vol_atulg/IC617,29GB,none,false,0GB,0GB,-,-,-,-,29GB,11GB,-,-,-,-,noida:/vols/IC617
noiclapa01-cls-mgt,vs0,IC617_ws3,noiclapa01_p6_SAS0,40GB,online,cic,/p4/flex_user/IC617_ws3,29GB,none,true,0GB,0GB,IC617,-,-,-,29GB,11GB,-,-,-,-,noida:/vols/IC617_ws3
noiclapa01-cls-mgt,vs0,IPG_mpa_dv,noiclapa01_p2_SAS0,1710GB,online,default,/vol/IPG_mpa_dv,988GB,it-noida,false,0GB,1373GB,-,-,-,-,2361GB,-651GB,-,-,-,-,noida:/projects/mpa_dv
noiclapa01-cls-mgt,vs0,IPG_mpa_dv_archive,noiclapa01_s1_SATA0,850GB,online,default,/vol/IPG_mpa_dv_archive,0GB,it-noida,false,0GB,0GB,-,-,-,-,0GB,850GB,-,-,-,-,noida:/servers/mpa_dv_archive
noiclapa01-cls-mgt,vs0,IP_modeling,noiclapa01_s1_SATA0,500GB,online,IP_model,/vols/IP_modeling,428GB,none,false,0GB,0GB,-,-,-,-,428GB,72GB,-,-,-,-,noida:/servers/IP_modeling
noiclapa01-cls-mgt,vs0,SFI_grid2,noiclapa01_p2_SAS0,1000GB,online,default,/it/SFI_grid2,839GB,default-1weekly,false,0GB,0GB,-,-,-,-,839GB,161GB,-,-,-,-,noida:/grid/common/1H2003
noiclapa01-cls-mgt,vs0,SVG_PE,noiclapa01_p5_SAS0,1024GB,online,default,/vols/SVG_PE,0GB,default,false,0GB,0GB,-,-,-,-,0GB,1024GB,-,sthakur,gangulys,System_&_Verification_Group,noida:/vols/SVG_PE
noiclapa01-cls-mgt,vs0,TI_QRC_loaner,noiclapa01_s1_SATA0,1099GB,online,tfo,/tfo/TI_QRC_loaner,1051GB,none,false,0GB,65GB,-,-,-,-,1116GB,-17GB,-,-,-,-,noida:/servers/TI_QRC_sat
noiclapa01-cls-mgt,vs0,XCP_catalog,noiclapa01_p5_SAS0,300GB,online,default,/XCP,211GB,default,false,0GB,0GB,-,-,-,-,211GB,89GB,-,-,-,-,noida:/grid/it/catalog
noiclapa01-cls-mgt,vs0,agarwalp_vol,noiclapa01_p2_SAS0,150GB,online,cva,/cva/agarwalp_vol,3GB,none,false,0GB,0GB,-,-,-,-,3GB,147GB,-,-,-,-,noida:/grid/cva/agarwalp_vol
